theta0,theta1,value
-9.0,-2.0,-25.276473167114126
-8.5,-2.0,-25.276473167114126
-8.0,-2.0,-25.276473167114126
-7.5,-2.0,-25.276473167114126
-7.0,-2.0,-25.276473167114126
-6.5,-2.0,-25.276473167114126
-6.0,-2.0,-25.276473167114126
-5.5,-2.0,-25.276473167114126
-5.0,-2.0,-25.276473167114126
-4.5,-2.0,-25.276473167114126
-4.0,-2.0,-25.276473167114126
-3.5,-2.0,-25.276473167114126
-3.0,-2.0,-25.276473167114126
-2.5,-2.0,-25.276473167114126
-2.0,-2.0,-25.276473167114126
-1.5,-2.0,-25.276473167114126
-1.0,-2.0,-25.276473167114126
-0.5,-2.0,-25.276473167114126
0.0,-2.0,-25.276473167114126
0.5,-2.0,-25.276473167114126
1.0,-2.0,-25.276473167114126
1.5,-2.0,-25.276473167114126
2.0,-2.0,-25.276473167114126
2.5,-2.0,-25.276473167114126
3.0,-2.0,-25.276473167114126
3.5,-2.0,-25.276473167114126
4.0,-2.0,-25.276473167114126
4.5,-2.0,-25.276473167114126
5.0,-2.0,-25.276473167114126
5.5,-2.0,-25.276473167114126
6.0,-2.0,-25.276473167114126
6.5,-2.0,-25.276473167114126
7.0,-2.0,-25.276473167114126
7.5,-2.0,-25.276473167114126
8.0,-2.0,-25.276473167114126
8.5,-2.0,-25.276473167114126
9.0,-2.0,-25.276473167114126
9.5,-2.0,-25.276473167114126
10.0,-2.0,-25.276473167114126
-10.0,-1.5,-25.2508027198388
-9.5,-1.5,-25.2508027198388
-9.0,-1.5,-25.2508027198388
-8.5,-1.5,-25.2508027198388
-8.0,-1.5,-25.2508027198388
-7.5,-1.5,-25.2508027198388
-7.0,-1.5,-25.2508027198388
-6.5,-1.5,-25.2508027198388
-6.0,-1.5,-25.2508027198388
-5.5,-1.5,-25.2508027198388
-5.0,-1.5,-25.2508027198388
-4.5,-1.5,-25.2508027198388
-4.0,-1.5,-25.2508027198388
-3.5,-1.5,-25.2508027198388
-3.0,-1.5,-25.2508027198388
-2.5,-1.5,-25.2508027198388
-2.0,-1.5,-25.2508027198388
-1.5,-1.5,-25.2508027198388
-1.0,-1.5,-25.2508027198388
-0.5,-1.5,-25.2508027198388
0.0,-1.5,-25.2508027198388
0.5,-1.5,-25.2508027198388
1.0,-1.5,-25.2508027198388
1.5,-1.5,-25.2508027198388
2.0,-1.5,-25.2508027198388
2.5,-1.5,-25.2508027198388
3.0,-1.5,-25.2508027198388
3.5,-1.5,-25.2508027198388
4.0,-1.5,-25.2508027198388
4.5,-1.5,-25.2508027198388
5.0,-1.5,-25.2508027198388
5.5,-1.5,-25.2508027198388
6.0,-1.5,-25.2508027198388
6.5,-1.5,-25.2508027198388
7.0,-1.5,-25.2508027198388
7.5,-1.5,-25.2508027198388
8.0,-1.5,-25.2508027198388
8.5,-1.5,-25.2508027198388
9.0,-1.5,-25.2508027198388
9.5,-1.5,-25.2508027198388
10.0,-1.5,-25.2508027198388
-10.0,-1.0,-25.21273204302492
-9.5,-1.0,-25.21273204302492
-9.0,-1.0,-25.21273204302492
-8.5,-1.0,-25.21273204302492
-8.0,-1.0,-25.21273204302492
-7.5,-1.0,-25.21273204302492
-7.0,-1.0,-25.21273204302492
-6.5,-1.0,-25.21273204302492
-6.0,-1.0,-25.21273204302492
-5.5,-1.0,-25.21273204302492
-5.0,-1.0,-25.21273204302492
-4.5,-1.0,-25.21273204302492
-4.0,-1.0,-25.21273204302492
-3.5,-1.0,-25.21273204302492
